permit_num,description_hash,construction_type,unit_form,model
03 103317 BLD,832e0e7bc89903a9438fe5f2244fe183,basement_units,basement_or_secondary_suite,claude-haiku-4-5
03 159692 BLD,9f367116cd47b551a31e70a3f118eece,basement_units,standard,claude-haiku-4-5
03 195120 BLD,afd4ffbde164ee1ec94521ae679924e6,aboveground_units,standard,claude-haiku-4-5
04 143006 BLD,d53ba3f3e9ccb52de3eae3b349b496be,aboveground_units,standard,claude-haiku-4-5
05 134684 BLD,6a5711f430f2d8db2b349db061f31df0,aboveground_units,standard,claude-haiku-4-5
11 196575 BLD,5a71a3a41df76e7a6faab80c05b2619a,basement_units,basement_or_secondary_suite,claude-haiku-4-5
11 240886 BLD,ae68508b5fd2f843c1400cb17aaecb48,new_building,standard,claude-haiku-4-5
12 108807 BLD,2a9538bab9350f02a320416147536e48,no_unit_change,standard,claude-haiku-4-5
13 147585 BLD,b20ef7a000bfb786e86e4a73b5b06add,new_building,standard,claude-haiku-4-5
14 122755 BLD,f5c18009026aeb7799e80f5333b5858e,basement_units,basement_or_secondary_suite,claude-haiku-4-5
15 210017 BLD,ebf7e6ad5955761f4a36cd27930295e0,basement_units,basement_or_secondary_suite,claude-haiku-4-5
16 117487 BLD,026d6c8a72fc937721e566dd04121fa3,basement_units,basement_or_secondary_suite,claude-haiku-4-5
16 136513 BLD,f6542ab1185bd895cb5c330d7ceab8ba,new_building,standard,claude-haiku-4-5
16 141239 BLD,b5e6ac57ceed2dd6a0d96edb9c006955,basement_units,basement_or_secondary_suite,claude-haiku-4-5
16 146531 BLD,671920ca9220b5a696a6e28b2465f67b,aboveground_units,basement_or_secondary_suite,claude-haiku-4-5
16 195629 BLD,1b77faad3b0896b7b08947d022022b27,basement_units,basement_or_secondary_suite,claude-haiku-4-5
16 238861 BLD,d7ddc7950f118385213b2d2b344d5ed3,basement_units,basement_or_secondary_suite,claude-haiku-4-5
17 156469 BLD,ea447d7dae2d444cb54b69cb5f6ab9b3,new_building,standard,claude-haiku-4-5
17 181539 BLD,29ff7ed35aa810f8a05bb4ba50da5e28,basement_units,basement_or_secondary_suite,claude-haiku-4-5
17 197768 BLD,150646b6af89d3ce71e7876aba3dfabf,new_building,basement_or_secondary_suite,claude-haiku-4-5
17 197786 BLD,d86f4f73e32040742898deeef73fd808,new_building,basement_or_secondary_suite,claude-haiku-4-5
17 247155 BLD,d32b04e81be0c3a136e2bd549a45edeb,basement_units,standard,claude-haiku-4-5
17 270120 BLD,28ba6541e4087c5e436d8ccd95539808,aboveground_units,standard,claude-haiku-4-5
18 131603 BLD,cf4c3f40527c83a24a74d56a0992402a,basement_units,basement_or_secondary_suite,claude-haiku-4-5
18 152049 BLD,8dce8bdd1b162f635801a815e08dd553,basement_units,basement_or_secondary_suite,claude-haiku-4-5
18 159616 BLD,06bdd75489e96292d48842c0c862dce9,basement_units,basement_or_secondary_suite,claude-haiku-4-5
18 178948 BLD,daa6ad827793ef2e4581e7483622b143,basement_units,basement_or_secondary_suite,claude-haiku-4-5
18 182599 BLD,851e927a5df5a57cd352e9e62ea20a2f,basement_units,basement_or_secondary_suite,claude-haiku-4-5
18 223823 BLD,741e3984289e8042a92e6beabd6d2fb6,new_building,standard,claude-haiku-4-5
19 113911 BLD,ea772a99a2bd9069868cbfe75c3ac750,basement_units,basement_or_secondary_suite,claude-haiku-4-5
